#          b = 6
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -3.869926735e-01 -1.076282816e-01 -5.007968789e-02 -2.887892340e-02 -1.702811709e-02 -4.250039853e-03 1.458450095e-02 3.555596714e-02 6.422881007e-02 9.302255782e-02 1.321462639e-01 1.691530403e-01 2.204402521e-01 2.666640785e-01 3.333862658e-01 3.906830884e-01 4.795714215e-01 5.515406904e-01 6.809560642e-01 7.765237266e-01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
2.40000000e+00 -4.41760407e-02 -8.93146656e-02 2.47370391e-02 1.52693425e-02 -1.48973848e-02 1.68290429e-02 -1.90734380e-02 1.73449241e-02 1.69344647e-02 -1.31819548e-02 1.19384077e-02 -8.44466820e-03 -7.74503878e-03 -5.69813723e-03 5.55704751e-03 -4.65659180e-03 4.43914262e-03 -4.06648498e-03 3.44447593e-03 -3.39338717e-03 
2.50000000e+00 -4.81509881e-02 -9.52426804e-02 2.74990807e-02 1.71567354e-02 -1.67442798e-02 1.90644619e-02 -2.16027985e-02 1.99603141e-02 1.94803831e-02 -1.54493560e-02 1.38839751e-02 -9.91534008e-03 -8.89191260e-03 -6.46290738e-03 6.15548818e-03 -5.07026396e-03 4.78890380e-03 -4.34766472e-03 3.67021483e-03 -3.59652195e-03 
2.60000000e+00 -5.23049713e-02 -1.01166033e-01 3.03773360e-02 1.91365392e-02 -1.86756341e-02 2.14132661e-02 -2.42588355e-02 2.27506036e-02 2.22080751e-02 -1.79332171e-02 1.60239452e-02 -1.15688724e-02 -1.01733532e-02 -7.32291026e-03 6.80972451e-03 -5.51154515e-03 5.15099499e-03 -4.63090194e-03 3.89476104e-03 -3.79506652e-03 
2.70000000e+00 -5.66376698e-02 -1.07060930e-01 3.33601145e-02 2.11998356e-02 -2.06805650e-02 2.38614074e-02 -2.70237775e-02 2.57008517e-02 2.51041695e-02 -2.06296732e-02 1.83584854e-02 -1.34141970e-02 -1.15982738e-02 -8.28862080e-03 7.52630851e-03 -5.98473552e-03 5.52704665e-03 -4.91658151e-03 4.11798908e-03 -3.98870942e-03 
2.80000000e+00 -6.11485647e-02 -1.12903529e-01 3.64345860e-02 2.33365651e-02 -2.27468496e-02 2.63928252e-02 -2.98771732e-02 2.87926682e-02 2.81514969e-02 -2.35311118e-02 2.08846146e-02 -1.54583539e-02 -1.31747018e-02 -9.37081151e-03 8.31235144e-03 -6.49492077e-03 5.91921662e-03 -5.20550997e-03 4.34004821e-03 -4.17740410e-03 
2.90000000e+00 -6.58369387e-02 -1.18670009e-01 3.95868509e-02 2.55355798e-02 -2.48609966e-02 2.89895374e-02 -3.27960030e-02 3.20042460e-02 3.13290487e-02 -2.66259455e-02 2.35958949e-02 -1.77061005e-02 -1.49094615e-02 -1.05803522e-02 9.17544589e-03 -7.04799386e-03 6.33022688e-03 -5.49895702e-03 4.56138224e-03 -4.36138110e-03 
3.00000000e+00 -7.07018760e-02 -1.24336639e-01 4.28020157e-02 2.77847061e-02 -2.70083311e-02 3.16317562e-02 -3.57548264e-02 3.53104411e-02 3.46119918e-02 -2.98984341e-02 2.64821569e-02 -2.01595227e-02 -1.68078387e-02 -1.19279755e-02 1.01235602e-02 -7.65065932e-03 6.76339248e-03 -5.79869395e-03 4.78274594e-03 -4.54115576e-03 
3.10000000e+00 -7.57422627e-02 -1.29879853e-01 4.60642744e-02 3.00708148e-02 -2.91730913e-02 3.42980228e-02 -3.87259623e-02 3.86829014e-02 3.79717410e-02 -3.33285606e-02 2.95292657e-02 -2.28176538e-02 -1.88732325e-02 -1.34240085e-02 1.11649034e-02 -8.31041726e-03 7.22264097e-03 -6.10702853e-03 5.00521800e-03 -4.71753155e-03 
3.20000000e+00 -8.09567878e-02 -1.35276317e-01 4.93569936e-02 3.23798985e-02 -3.13385359e-02 3.69653647e-02 -4.16797027e-02 4.20902434e-02 4.13760916e-02 -3.68919694e-02 3.27189365e-02 -2.56761114e-02 -2.11067996e-02 -1.50780732e-02 1.23077611e-02 -9.03552468e-03 7.71252056e-03 -6.42683541e-03 5.23021038e-03 -4.89159909e-03 
3.30000000e+00 -8.63439444e-02 -1.40503000e-01 5.26628023e-02 3.46971566e-02 -3.34870622e-02 3.96094706e-02 -4.45845563e-02 4.54982770e-02 4.47894114e-02 -4.05599675e-02 3.60286048e-02 -2.87267602e-02 -2.35070990e-02 -1.68987584e-02 1.35602993e-02 -9.83493153e-03 8.23819542e-03 -6.76158140e-03 5.45947402e-03 -5.06473119e-03 
3.40000000e+00 -9.19020306e-02 -1.45537241e-01 5.59636856e-02 3.70070861e-02 -3.56003332e-02 4.22048840e-02 -4.74075210e-02 4.88702753e-02 4.81728927e-02 -4.42995947e-02 3.94313594e-02 -3.19574094e-02 -2.60697434e-02 -1.88932671e-02 1.49303402e-02 -1.07181893e-02 8.80542633e-03 -7.11534467e-03 5.69510093e-03 -5.23857419e-03 
3.50000000e+00 -9.76291518e-02 -1.50356816e-01 5.92410808e-02 3.92935790e-02 -3.76594134e-02 4.47252116e-02 -5.01143826e-02 5.21672886e-02 5.14848635e-02 -4.80737654e-02 4.28959419e-02 -3.53515544e-02 -2.87870672e-02 -2.10670434e-02 1.64251080e-02 -1.16953302e-02 9.42053482e-03 -7.49282701e-03 5.93952260e-03 -5.41503607e-03 
3.60000000e+00 -1.03523222e-01 -1.54940003e-01 6.24759773e-02 4.15400241e-02 -3.96449115e-02 4.71433469e-02 -5.26700363e-02 5.53485000e-02 5.46811541e-02 -5.18414812e-02 4.63868191e-02 -3.88881696e-02 -3.16478176e-02 -2.34233867e-02 1.80509484e-02 -1.27767157e-02 1.00903494e-02 -7.89935807e-03 6.19550476e-03 -5.59627187e-03 
3.70000000e+00 -1.09581968e-01 -1.59265646e-01 6.56490180e-02 4.37294133e-02 -4.15371294e-02 4.94317047e-02 -5.50388282e-02 5.83716177e-02 5.77155190e-02 -5.55581184e-02 4.98643316e-02 -4.25415632e-02 -3.46368788e-02 -2.59630577e-02 1.98130238e-02 -1.39728536e-02 1.08221320e-02 -8.34089063e-03 6.46613866e-03 -5.78466700e-03 
3.80000000e+00 -1.15802928e-01 -1.63313220e-01 6.87406023e-02 4.58444523e-02 -4.33162162e-02 5.15624668e-02 -5.71849136e-02 6.11933017e-02 6.05401077e-02 -5.91757858e-02 5.32849194e-02 -4.62812984e-02 -3.77350380e-02 -2.86838856e-02 2.17149891e-02 -1.52941818e-02 1.16234838e-02 -8.82398551e-03 6.75482862e-03 -5.98281905e-03 
3.90000000e+00 -1.22183459e-01 -1.67062884e-01 7.17309911e-02 4.78676737e-02 -4.49623257e-02 5.35078339e-02 -5.90726276e-02 6.37696197e-02 6.31059806e-02 -6.26437545e-02 5.66014291e-02 -5.00721911e-02 -4.09188017e-02 -3.15803837e-02 2.37586512e-02 -1.67508219e-02 1.25022283e-02 -9.35578513e-03 7.06527609e-03 -6.19351878e-03 
