#          b = 2
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.874323301e-01 -1.233597036e-01 -4.422850581e-02 3.798368206e-02 1.597917592e-01 3.119509956e-01 5.063160760e-01 7.264286393e-01 9.962343642e-01 1.288230969e+00 1.642094801e+00 2.014295313e+00 2.467507553e+00 2.934109992e+00 3.513823665e+00 4.099827425e+00 4.860724129e+00 5.616811217e+00 6.707545218e+00 7.778808423e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
2.40000000e+00 7.79201824e-01 2.35337005e-01 1.72176710e-01 -1.89204024e-01 -1.85488854e-01 1.84396761e-01 1.78342641e-01 1.99121607e-01 -2.18948331e-01 -2.70427199e-01 3.11764764e-01 3.62701899e-01 3.80815253e-01 -3.63985282e-01 3.09556236e-01 2.02125452e-01 1.12558258e-01 5.75011136e-03 2.09344690e-02 -5.17224217e-02 
2.50000000e+00 8.11358377e-01 2.43821104e-01 1.69317899e-01 -1.74525027e-01 -1.56872199e-01 1.44651685e-01 1.27497971e-01 1.41591870e-01 -1.56131616e-01 -2.10718121e-01 2.59405657e-01 3.31989849e-01 3.74120218e-01 -3.91504420e-01 3.59087659e-01 2.65488001e-01 1.68120404e-01 4.09127457e-02 6.01109311e-03 -5.34940905e-02 
2.60000000e+00 8.40585367e-01 2.49576527e-01 1.63179478e-01 -1.55209238e-01 -1.23115209e-01 9.94312123e-02 7.12191050e-02 7.71657655e-02 -8.45960536e-02 -1.37929593e-01 1.89776412e-01 2.79253457e-01 3.43877828e-01 -3.98431032e-01 3.95369386e-01 3.27189025e-01 2.30240174e-01 8.72214225e-02 -1.70480789e-02 -5.20320259e-02 
2.70000000e+00 8.66709382e-01 2.52435452e-01 1.53850846e-01 -1.31845099e-01 -8.56064400e-02 5.10140116e-02 1.28226431e-02 1.00907108e-02 -9.43487332e-03 -5.73701256e-02 1.07754842e-01 2.07408835e-01 2.90327433e-01 -3.81368708e-01 4.12756177e-01 3.81196869e-01 2.95041905e-01 1.44208551e-01 -4.96452048e-02 -4.57850860e-02 
2.80000000e+00 8.89596568e-01 2.52291287e-01 1.41518562e-01 -1.05188011e-01 -4.59408826e-02 1.91472519e-03 -4.41362365e-02 -5.50265624e-02 6.37097763e-02 2.46231062e-02 1.97970103e-02 1.21606035e-01 2.16214123e-01 -3.39050263e-01 4.06668889e-01 4.20996431e-01 3.57240689e-01 2.09998036e-01 -9.26501069e-02 -3.29363466e-02 
2.90000000e+00 9.09152510e-01 2.49099570e-01 1.26459150e-01 -7.61279949e-02 -5.83790757e-03 -4.52690818e-02 -9.61143852e-02 -1.13583865e-01 1.29133199e-01 1.01250282e-01 -6.66286805e-02 2.88627158e-02 1.26769213e-01 -2.72818866e-01 3.74387758e-01 4.40358626e-01 4.10481206e-01 2.81119447e-01 -1.46064340e-01 -1.15156280e-02 
3.00000000e+00 9.25321526e-01 2.42877209e-01 1.09028969e-01 -4.56519055e-02 3.29470670e-02 -8.80159065e-02 -1.39834110e-01 -1.61356610e-01 1.81580135e-01 1.65894472e-01 -1.43763806e-01 -6.25626983e-02 2.93685253e-02 -1.86826672e-01 3.15726186e-01 4.34235974e-01 4.47927895e-01 3.52510322e-01 -2.08685027e-01 2.04025694e-02 
3.10000000e+00 9.38085392e-01 2.33700160e-01 8.96516421e-02 -1.48021018e-02 6.87121222e-02 -1.24034606e-01 -1.72519852e-01 -1.94847448e-01 2.16732822e-01 2.12780537e-01 -2.04363989e-01 -1.44001847e-01 -6.71224867e-02 -8.78812979e-02 2.33460075e-01 3.99666797e-01 4.63072276e-01 4.17762795e-01 -2.77826910e-01 6.44119225e-02 
3.20000000e+00 9.47461574e-01 2.21699718e-01 6.88036039e-02 1.53664469e-02 9.98946088e-02 -1.51403879e-01 -1.92099957e-01 -2.11581669e-01 2.31626818e-01 2.37577015e-01 -2.42495486e-01 -2.07322942e-01 -1.53261961e-01 1.50850843e-02 1.33406389e-01 3.36545556e-01 4.50676855e-01 4.69643041e-01 -3.49172646e-01 1.21411096e-01 
3.30000000e+00 9.53501022e-01 2.07057591e-01 4.69983638e-02 4.38286358e-02 1.25148514e-01 -1.68688001e-01 -1.97358233e-01 -2.10322185e-01 2.24952457e-01 2.37874309e-01 -2.54230909e-01 -2.45882585e-01 -2.20106097e-01 1.11895254e-01 2.40842698e-02 2.48112517e-01 4.07732833e-01 5.00870838e-01 -4.16822851e-01 1.91198703e-01 
3.40000000e+00 9.56285587e-01 1.89999964e-01 2.47701060e-02 6.96294054e-02 1.43409414e-01 -1.75021626e-01 -1.88024018e-01 -1.91184960e-01 1.97210444e-01 2.13483891e-01 -2.38158034e-01 -2.55363946e-01 -2.60315726e-01 1.92270267e-01 -8.40510695e-02 1.41036716e-01 3.34279879e-01 5.05096474e-01 -4.73604902e-01 2.72082565e-01 
3.50000000e+00 9.55925136e-01 1.70790785e-01 2.65723177e-03 9.19199412e-02 1.53943841e-01 -1.70158718e-01 -1.64794337e-01 -1.55644426e-01 1.50704012e-01 1.66521151e-01 -1.95633965e-01 -2.34389275e-01 -2.69149776e-01 2.47102840e-01 -1.79744892e-01 2.50125221e-02 2.33928918e-01 4.77961150e-01 -5.11670999e-01 3.60577853e-01 
3.60000000e+00 9.52554441e-01 1.49724496e-01 -1.88135790e-02 1.09988463e-01 1.56380843e-01 -1.54483111e-01 -1.29287014e-01 -1.06428075e-01 8.93658674e-02 1.01257093e-01 -1.30744358e-01 -1.84817129e-01 -2.45204141e-01 2.69693698e-01 -2.52326981e-01 -8.81422664e-02 1.13948920e-01 4.18084751e-01 -5.23372409e-01 4.51278328e-01 
