#          b = 6
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -3.299526782e-01 -9.679628167e-02 -4.628056458e-02 -2.566984111e-02 -1.115161880e-03 2.702364899e-02 7.648100378e-02 1.209328951e-01 2.089244998e-01 2.755258772e-01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
5.70000000e+00 2.93818590e-01 -9.99769385e-02 4.75285865e-02 -2.84496109e-02 8.08164938e-03 2.84423205e-02 1.09926859e-02 5.94496470e-02 4.09308820e-02 -7.46037323e-02 
5.80000000e+00 3.03297242e-01 -9.41064322e-02 4.36537771e-02 -2.42922765e-02 1.36103522e-03 2.11775352e-02 2.49143013e-03 5.36787860e-02 3.63378429e-02 -7.52154036e-02 
5.90000000e+00 3.12835522e-01 -8.78189006e-02 3.94514984e-02 -1.98304224e-02 -5.72524731e-03 1.33800369e-02 -6.60764307e-03 4.71060849e-02 3.10317609e-02 -7.53294993e-02 
6.00000000e+00 3.22426764e-01 -8.11222482e-02 3.49276486e-02 -1.50744134e-02 -1.31520755e-02 5.07588010e-03 -1.62717208e-02 3.97311013e-02 2.49974921e-02 -7.48933711e-02 
6.10000000e+00 3.32064248e-01 -7.40255115e-02 3.00895477e-02 -1.00363655e-02 -2.08915009e-02 -3.70438240e-03 -2.64618928e-02 3.15604523e-02 1.82258533e-02 -7.38550186e-02 
6.20000000e+00 3.41741212e-01 -6.65388296e-02 2.49459173e-02 -4.73010447e-03 -2.89128781e-02 -1.29258177e-02 -3.71332623e-02 2.26080881e-02 1.07141446e-02 -7.21637545e-02 
6.30000000e+00 3.51450855e-01 -5.86734132e-02 1.95068542e-02 8.28887101e-04 -3.71830136e-02 -2.25492700e-02 -4.82351158e-02 1.28955005e-02 2.46662899e-03 -6.97709073e-02 
6.40000000e+00 3.61186347e-01 -5.04415107e-02 1.37837977e-02 6.62353180e-03 -4.56663346e-02 -3.25315558e-02 -5.97111535e-02 2.45186036e-03 -6.50503909e-03 -6.66305530e-02 
6.50000000e+00 3.70940841e-01 -4.18563707e-02 7.78949096e-03 1.26352294e-02 -5.43250759e-02 -4.28256947e-02 -7.14997792e-02 -8.68591924e-03 -1.61814466e-02 -6.27002702e-02 
6.60000000e+00 3.80707477e-01 -3.29322024e-02 1.53793624e-03 1.88439375e-02 -6.31194853e-02 -5.33811761e-02 -8.35344476e-02 -2.04731981e-02 -2.65351222e-02 -5.79419078e-02 
6.70000000e+00 3.90479393e-01 -2.36841339e-02 -4.95565501e-03 2.52282614e-02 -7.20080433e-02 -6.41442584e-02 -9.57440678e-02 -3.28577036e-02 -3.75303129e-02 -5.23223572e-02 
6.80000000e+00 4.00249730e-01 -1.41281674e-02 -1.16749177e-02 3.17655514e-02 -8.09476987e-02 -7.50582996e-02 -1.08053460e-01 -4.57797080e-02 -4.91228432e-02 -4.58143187e-02 
6.90000000e+00 4.10011646e-01 -4.28113331e-03 -1.86023936e-02 3.84320078e-02 -8.98941164e-02 -8.60641163e-02 -1.20383862e-01 -5.91722873e-02 -6.12600633e-02 -3.83970515e-02 
7.00000000e+00 4.19758316e-01 5.83935903e-03 -2.57195966e-02 4.52027933e-02 -9.88019368e-02 -9.71003693e-02 -1.32653485e-01 -7.29616633e-02 -7.38808922e-02 -3.00570957e-02 
7.10000000e+00 4.29482946e-01 1.62149709e-02 -3.30070819e-02 5.20521505e-02 -1.07625044e-01 -1.08103971e-01 -1.44778105e-01 -8.70676265e-02 -8.69159586e-02 -2.07889560e-02 
7.20000000e+00 4.39178780e-01 2.68266865e-02 -4.04445203e-02 5.89535263e-02 -1.16316843e-01 -1.19010515e-01 -1.56671701e-01 -1.01404037e-01 -1.00287845e-01 -1.05957352e-02 
7.30000000e+00 4.48839104e-01 3.76548658e-02 -4.80107750e-02 6.58797001e-02 -1.24830542e-01 -1.29754718e-01 -1.68247116e-01 -1.15879405e-01 -1.13911435e-01 5.10294532e-04 
7.40000000e+00 4.58457257e-01 4.86792997e-02 -5.56839824e-02 7.28029163e-02 -1.33119437e-01 -1.40270881e-01 -1.79416752e-01 -1.30397535e-01 -1.27694368e-01 1.25071927e-02 
7.50000000e+00 4.68026635e-01 5.98792651e-02 -6.34416356e-02 7.96950207e-02 -1.41137201e-01 -1.50493356e-01 -1.90093283e-01 -1.44858251e-01 -1.41537595e-01 2.53629354e-02 
