#          b = 1.2
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.967549723e-01 -1.177596507e-01 5.324275529e-02 3.123752342e-01 6.711524672e-01 1.114759789e+00 1.663833910e+00 2.294645497e+00 3.046654324e+00 3.879886020e+00 4.859755887e+00 5.921904160e+00 7.171382046e+00 8.506395763e+00 1.009840647e+01 1.178417294e+01 1.386449074e+01 1.606332517e+01 1.902646050e+01 2.223855487e+01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
2.50000000e+00 6.88195250e-01 1.52502451e-01 1.90303148e-01 4.65330891e-02 1.18433742e-01 2.29452891e-01 -2.94075962e-01 3.28545649e-01 3.43827499e-01 3.67496346e-01 3.76281377e-01 3.98202471e-01 3.59298337e-01 -2.91199311e-01 -7.53542514e-02 -1.43358991e-01 -4.57167484e-01 3.61889401e-01 1.56442311e-01 7.63843657e-01 
2.60000000e+00 6.45811149e-01 1.83396194e-01 1.64492117e-01 -2.28795893e-02 1.89162730e-01 2.73475017e-01 -2.97539509e-01 2.97706890e-01 2.80140083e-01 2.94786655e-01 3.02452923e-01 3.66337438e-01 3.80585581e-01 -4.19496232e-01 -2.81053243e-01 1.21255385e-01 -2.95249855e-01 3.99079024e-01 4.72583079e-01 5.23299109e-01 
2.70000000e+00 6.02142906e-01 2.08728803e-01 1.28296019e-01 -9.15239593e-02 2.38993898e-01 2.79388393e-01 -2.50463067e-01 2.09353121e-01 1.52862045e-01 1.50450488e-01 1.42435690e-01 2.29295026e-01 2.74653197e-01 -4.16748850e-01 -3.81378138e-01 3.63890847e-01 -4.01066017e-02 2.69765984e-01 6.66943262e-01 1.80258147e-01 
2.80000000e+00 5.58111341e-01 2.28239614e-01 8.41047376e-02 -1.53541838e-01 2.62467521e-01 2.46870663e-01 -1.61302265e-01 8.18967355e-02 -9.04952124e-03 -2.79847958e-02 -5.99728786e-02 2.88882658e-02 7.24235341e-02 -2.81670688e-01 -3.34142043e-01 4.93224499e-01 2.14871323e-01 1.50574800e-02 6.65074362e-01 -1.86879637e-01 
2.90000000e+00 5.14515870e-01 2.41928047e-01 3.45810203e-02 -2.03944336e-01 2.57332454e-01 1.81173915e-01 -4.55911005e-02 -5.85423484e-02 -1.68908311e-01 -1.94083247e-01 -2.48474372e-01 -1.72630269e-01 -1.61743655e-01 -5.97459184e-02 -1.51349110e-01 4.55221067e-01 3.71764621e-01 -2.69488262e-01 4.51067023e-01 -4.76643058e-01 
3.00000000e+00 4.72026736e-01 2.50019775e-01 -1.75405919e-02 -2.38985148e-01 2.24619086e-01 9.21127259e-02 7.70100157e-02 -1.83675218e-01 -2.90945025e-01 -3.04803525e-01 -3.70441875e-01 -3.12189169e-01 -3.50891924e-01 1.71779892e-01 1.01998952e-01 2.57172998e-01 3.67948856e-01 -4.66768883e-01 8.50809109e-02 -5.98410802e-01 
3.10000000e+00 4.31183621e-01 2.52925220e-01 -6.96357280e-02 -2.56381005e-01 1.68318093e-01 -7.56134465e-03 1.86245232e-01 -2.68846029e-01 -3.48515441e-01 -3.31787698e-01 -3.92018208e-01 -3.46079123e-01 -4.31345389e-01 3.31339457e-01 3.30317016e-01 -3.13041541e-02 2.04690039e-01 -4.85889429e-01 -3.08491873e-01 -5.09783018e-01 
3.20000000e+00 3.92399619e-01 2.51194188e-01 -1.19341348e-01 -2.55374339e-01 9.47421807e-02 -1.04109541e-01 2.64706397e-01 -2.97877945e-01 -3.29938061e-01 -2.68619164e-01 -3.07680983e-01 -2.64061710e-01 -3.74653691e-01 3.62927039e-01 4.43490298e-01 -3.02727453e-01 -4.96172457e-02 -3.04859238e-01 -5.83038357e-01 -2.41015037e-01 
3.30000000e+00 3.55969414e-01 2.45470072e-01 -1.64668808e-01 -2.36650415e-01 1.16801991e-02 -1.84766073e-01 3.00588263e-01 -2.66011912e-01 -2.40687416e-01 -1.32198125e-01 -1.41536379e-01 -9.27411660e-02 -1.97823394e-01 2.57088634e-01 3.92743683e-01 -4.53205654e-01 -2.85510608e-01 1.26014234e-02 -6.28206690e-01 1.07608187e-01 
3.40000000e+00 3.22080531e-01 2.36446515e-01 -2.04075908e-01 -2.02134750e-01 -7.25334220e-02 -2.39421895e-01 2.89328302e-01 -1.80440164e-01 -1.01601233e-01 4.19838107e-02 5.98833900e-02 1.12919149e-01 4.19109071e-02 5.47955756e-02 1.91700483e-01 -4.24462588e-01 -3.98483773e-01 3.37589312e-01 -4.20478660e-01 3.99459538e-01 
