#          b = 0.5
#          n:            1           2           3           4           5
# Eigenvalues: -3.099926750e-01 2.167576171e+00 6.530444813e+00 1.378255879e+01 2.404949236e+01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)
7.60000000e+00 6.98561807e-46 1.33468554e-43 -1.54511520e-41 -8.83565581e-40 -6.75308673e-38 
7.70000000e+00 3.55307962e-47 6.98530878e-45 -8.29440295e-43 -4.88046094e-41 -3.81059510e-39 
7.80000000e+00 1.73447007e-48 3.50726044e-46 -4.27019051e-44 -2.58414167e-42 -2.06079563e-40 
7.90000000e+00 8.12647900e-50 1.68944466e-47 -2.10847403e-45 -1.31169777e-43 -1.06821296e-41 
8.00000000e+00 3.65446057e-51 7.80783323e-49 -9.98546632e-47 -6.38323031e-45 -5.30749404e-43 
8.10000000e+00 1.57739513e-52 3.46213553e-50 -4.53593638e-48 -2.97826011e-46 -2.52788183e-44 
8.20000000e+00 6.53528834e-54 1.47299169e-51 -1.97643594e-49 -1.33237078e-47 -1.15421139e-45 
8.30000000e+00 2.59900049e-55 6.01332023e-53 -8.26102022e-51 -5.71546898e-49 -5.05242678e-47 
8.40000000e+00 9.92145244e-57 2.35559534e-54 -3.31235656e-52 -2.35107179e-50 -2.12043307e-48 
8.50000000e+00 3.63564125e-58 8.85468927e-56 -1.27411781e-53 -9.27447136e-52 -8.53260920e-50 
8.60000000e+00 1.27888919e-59 3.19407926e-57 -4.70183358e-55 -3.50867239e-53 -3.29225831e-51 
8.70000000e+00 4.31856907e-61 1.10568321e-58 -1.66466004e-56 -1.27305495e-54 -1.21809710e-52 
8.80000000e+00 1.39994350e-62 3.67316865e-60 -5.65456773e-58 -4.43018289e-56 -4.32181623e-54 
8.90000000e+00 4.35665499e-64 1.17108432e-61 -1.84290613e-59 -1.47871709e-57 -1.47050580e-55 
9.00000000e+00 1.30159511e-65 3.58330842e-63 -5.76302973e-61 -4.73429708e-59 -4.79846382e-57 
9.10000000e+00 3.73324518e-67 1.05230132e-64 -1.72924195e-62 -1.45395267e-60 -1.50172722e-58 
9.20000000e+00 1.02799859e-68 2.96596984e-66 -4.97887108e-64 -4.28337519e-62 -4.50765734e-60 
9.30000000e+00 2.71769814e-70 8.02369566e-68 -1.37558913e-65 -1.21054008e-63 -1.29777323e-61 
9.40000000e+00 6.89794395e-72 2.08340319e-69 -3.64704759e-67 -3.28204849e-65 -3.58386207e-63 
9.50000000e+00 1.68094956e-73 5.19245910e-71 -9.27898928e-69 -8.53686818e-67 -9.49345395e-65 
9.60000000e+00 3.93289992e-75 1.24217597e-72 -2.26557157e-70 -2.13036687e-68 -2.41230987e-66 
9.70000000e+00 8.83488114e-77 2.85241383e-74 -5.30864556e-72 -5.10066082e-70 -5.88020840e-68 
9.80000000e+00 1.90556751e-78 6.28738574e-76 -1.19379324e-73 -1.17173181e-71 -1.37504697e-69 
9.90000000e+00 3.94629734e-80 1.33034521e-77 -2.57646479e-75 -2.58269294e-73 -3.08476074e-71 
1.00000000e+01 7.84698719e-82 2.70211301e-79 -5.33677604e-77 -5.46226458e-75 -6.63923564e-73 
