#          b = 0.5
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.483073787e-01 8.471401626e-01 3.090381805e+00 6.326996072e+00 1.075246531e+01 1.629184652e+01 2.348819979e+01 3.215732287e+01 4.389262813e+01 5.861020748e+01 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
6.30000000e+00 -3.01989669e-28 -5.66045098e-26 2.37024819e-24 -8.33873452e-23 -1.81396479e-21 4.09432835e-20 -6.37339371e-19 -1.15695224e-17 -1.47367163e-16 -3.23222634e-15 
6.40000000e+00 -2.85843786e-29 -5.52633522e-27 2.39921557e-25 -8.72863180e-24 -1.97043185e-22 4.60163594e-21 -7.44384014e-20 -1.39707100e-18 -1.85606042e-17 -4.16193604e-16 
6.50000000e+00 -2.59177306e-30 -5.16595633e-28 2.32360370e-26 -8.73675279e-25 -2.04508527e-23 4.93839510e-22 -8.29415435e-21 -1.60850516e-19 -2.22584290e-18 -5.10304557e-17 
6.60000000e+00 -2.25132893e-31 -4.62423145e-29 2.15344216e-27 -8.36338901e-26 -2.02845387e-24 5.06174090e-23 -8.81889175e-22 -1.76624804e-20 -2.54259797e-19 -5.96014882e-18 
6.70000000e+00 -1.87367753e-32 -3.96414432e-30 1.91003193e-28 -7.65790213e-27 -1.92310963e-25 4.95616407e-24 -8.95021675e-23 -1.85022021e-21 -2.76757330e-20 -6.63318199e-19 
6.80000000e+00 -1.49417983e-33 -3.25479779e-31 1.62158343e-29 -6.70804681e-28 -1.74303137e-26 4.63670412e-25 -8.67231330e-24 -1.84947445e-22 -2.87147641e-21 -7.03653091e-20 
6.90000000e+00 -1.14182468e-34 -2.55979285e-32 1.31789710e-30 -5.62213736e-29 -1.51057253e-27 4.14545997e-26 -8.02447102e-25 -1.76453823e-23 -2.84074725e-22 -7.11694866e-21 
7.00000000e+00 -8.36217461e-36 -1.92855310e-33 1.02545591e-31 -4.50903184e-30 -1.25193665e-28 3.54252683e-27 -7.09202975e-26 -1.60720265e-24 -2.68045643e-23 -6.86510049e-22 
7.10000000e+00 -5.86942301e-37 -1.39200979e-34 7.63999655e-33 -3.46095751e-31 -9.92414635e-30 2.89403751e-28 -5.98804275e-27 -1.39785085e-25 -2.41297726e-24 -6.31728253e-23 
7.20000000e+00 -3.94874965e-38 -9.62660524e-36 5.45073643e-34 -2.54268409e-32 -7.52551758e-31 2.26055759e-29 -4.83105806e-28 -1.16115607e-26 -2.07289915e-25 -5.54689946e-24 
7.30000000e+00 -2.54649039e-39 -6.37909295e-37 3.72431286e-35 -1.78822168e-33 -5.45973187e-32 1.68854958e-30 -3.72495557e-29 -9.21391828e-28 -1.69976556e-26 -4.64844155e-25 
7.40000000e+00 -1.57424258e-40 -4.05072553e-38 2.43729021e-36 -1.20401113e-34 -3.79013300e-33 1.20631877e-31 -2.74533804e-30 -6.98557763e-29 -1.33071512e-27 -3.71874763e-26 
7.50000000e+00 -9.32988137e-42 -2.46505523e-39 1.52783965e-37 -7.76184728e-36 -2.51790643e-34 8.24366997e-33 -1.93435916e-31 -5.06105184e-30 -9.94855613e-29 -2.84058978e-27 
7.60000000e+00 -5.30129483e-43 -1.43770887e-40 9.17477379e-39 -4.79146575e-37 -1.60095100e-35 5.38947887e-34 -1.30320319e-32 -3.50455080e-31 -7.10399149e-30 -2.07218470e-28 
7.70000000e+00 -2.88811562e-44 -8.03701867e-42 5.27832356e-40 -2.83257727e-38 -9.74358533e-37 3.37128456e-35 -8.39623953e-34 -2.31977692e-32 -4.84614021e-31 -1.44390268e-29 
7.80000000e+00 -1.50868421e-45 -4.30652341e-43 2.90947199e-41 -1.60378014e-39 -5.67686595e-38 2.01798923e-36 -5.17387658e-35 -1.46807533e-33 -3.15878474e-32 -9.61201248e-31 
7.90000000e+00 -7.55712584e-47 -2.21204229e-44 1.53667815e-42 -8.69752186e-41 -3.16659350e-39 1.15602465e-37 -3.04974785e-36 -8.88385907e-35 -1.96765919e-33 -6.11408394e-32 
8.00000000e+00 -3.63004456e-48 -1.08923285e-45 7.77739032e-44 -4.51824964e-42 -1.69126876e-40 6.33852213e-39 -1.71982335e-37 -5.14122131e-36 -1.17153972e-34 -3.71671626e-33 
8.10000000e+00 -1.67219079e-49 -5.14201840e-47 3.77222436e-45 -2.24855644e-43 -8.64988937e-42 3.32680538e-40 -9.27958840e-39 -2.84576946e-37 -6.66821263e-36 -2.15956062e-34 
8.20000000e+00 -7.38752572e-51 -2.32731985e-48 1.75348866e-46 -1.07208622e-44 -4.23667709e-43 1.67158752e-41 -4.79125347e-40 -1.50680434e-38 -3.62887380e-37 -1.19953627e-35 
8.30000000e+00 -3.13019532e-52 -1.00997615e-49 7.81228844e-48 -4.89756411e-46 -1.98744313e-44 8.04146622e-43 -2.36751941e-41 -7.63291352e-40 -1.88845209e-38 -6.37036833e-37 
8.40000000e+00 -1.27210312e-53 -4.20262808e-51 3.33618705e-49 -2.14380821e-47 -8.93006695e-46 3.70412893e-44 -1.11971698e-42 -3.69956394e-41 -9.39876060e-40 -3.23502311e-38 
8.50000000e+00 -4.95872613e-55 -1.67689922e-52 1.36566836e-50 -8.99242463e-49 -3.84361655e-47 1.63388089e-45 -5.06917978e-44 -1.71587535e-42 -4.47426689e-41 -1.57111482e-39 
8.60000000e+00 -1.85409788e-56 -6.41637491e-54 5.35904959e-52 -3.61477544e-50 -1.58483496e-48 6.90200572e-47 -2.19697147e-45 -7.61626853e-44 -2.03757471e-42 -7.29809994e-41 
8.70000000e+00 -6.65008315e-58 -2.35444811e-55 2.01605321e-53 -1.39260185e-51 -6.26063955e-50 2.79245760e-48 -9.11610423e-47 -3.23567222e-45 -8.87762701e-44 -3.24290675e-42 
8.80000000e+00 -2.28807322e-59 -8.28560629e-57 7.27128254e-55 -5.14209636e-53 -2.36959879e-51 1.08215273e-49 -3.62185873e-48 -1.31581620e-46 -3.70101705e-45 -1.37857762e-43 
8.90000000e+00 -7.55226357e-61 -2.79649289e-58 2.51441615e-56 -1.81989593e-54 -8.59373652e-53 4.01711512e-51 -1.37793511e-49 -5.12242234e-48 -1.47649912e-46 -5.60721814e-45 
9.00000000e+00 -2.39146559e-62 -9.05263997e-60 8.33684817e-58 -6.17405612e-56 -2.98654369e-54 1.42855033e-52 -5.02038797e-51 -1.90916913e-49 -5.63739350e-48 -2.18237125e-46 
9.10000000e+00 -7.26516991e-64 -2.81077517e-61 2.65048870e-59 -2.00787177e-57 -9.94632886e-56 4.86701845e-54 -1.75182968e-52 -6.81302863e-51 -2.06015481e-49 -8.12865113e-48 
9.20000000e+00 -2.11756337e-65 -8.37110804e-63 8.08033488e-61 -6.25987439e-59 -3.17460977e-57 1.58871550e-55 -5.85498911e-54 -2.32808757e-52 -7.20674710e-51 -2.89773759e-49 
9.30000000e+00 -5.92174808e-67 -2.39145303e-64 2.36228024e-62 -1.87103358e-60 -9.71129196e-59 4.96905058e-57 -1.87444281e-55 -7.61827848e-54 -2.41344032e-52 -9.88759799e-51 
9.40000000e+00 -1.58891156e-68 -6.55357673e-66 6.62293946e-64 -5.36173288e-62 -2.84739317e-60 1.48926603e-58 -5.74858938e-57 -2.38751808e-55 -7.73802438e-54 -3.22962931e-52 
9.50000000e+00 -4.09071078e-70 -1.72285051e-67 1.78076042e-65 -1.47318396e-63 -8.00249501e-62 4.27729505e-60 -1.68897550e-58 -7.16640634e-57 -2.37550966e-55 -1.00990893e-53 
9.60000000e+00 -1.01055423e-71 -4.34494256e-69 4.59211729e-67 -3.88111849e-65 -2.15592619e-63 1.17730707e-61 -4.75430774e-60 -2.06040502e-58 -6.98316385e-57 -3.02353899e-55 
9.70000000e+00 -2.39549025e-73 -1.05123984e-70 1.13576916e-68 -9.80447108e-67 -5.56794641e-65 3.10569351e-63 -1.28227449e-61 -5.67453858e-60 -1.96585108e-58 -8.66737609e-57 
9.80000000e+00 -5.44897589e-75 -2.44013897e-72 2.69434437e-70 -2.37507534e-68 -1.37857476e-66 7.85234891e-65 -3.31383905e-63 -1.49714756e-61 -5.30011068e-60 -2.37920613e-58 
9.90000000e+00 -1.18941234e-76 -5.43419859e-74 6.13080981e-72 -5.51740121e-70 -3.27235518e-68 1.90298685e-66 -8.20662380e-65 -3.78427832e-63 -1.36863298e-61 -6.25433793e-60 
1.00000000e+01 -2.49148394e-78 -1.16112094e-75 1.33813390e-73 -1.22917330e-71 -7.44741285e-70 4.42068408e-68 -1.94762557e-66 -9.16459543e-65 -3.38522451e-63 -1.57458762e-61 
