#          b = 1.2
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.919461446e-01 -8.090469106e-02 2.741203525e-01 8.009204848e-01 1.560513588e+00 2.477430159e+00 3.734975746e+00 5.156771413e+00 7.234374253e+00 9.545778493e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
3.90000000e+00 -1.61594477e-01 -2.22480081e-01 -4.10841783e-01 7.00433673e-02 -3.53644371e-01 -3.52887473e-01 2.56164987e-01 6.76730528e-02 2.66271117e-01 5.72314528e-01 
4.00000000e+00 -1.40756408e-01 -2.04008203e-01 -4.16175373e-01 1.56377377e-01 -3.78708411e-01 -2.45750758e-01 8.79877749e-02 -1.36672020e-01 -6.03227239e-02 4.00526807e-01 
4.10000000e+00 -1.22042925e-01 -1.86060951e-01 -4.13066065e-01 2.34209300e-01 -3.73033997e-01 -1.11658755e-01 -9.40383710e-02 -3.14333099e-01 -3.74434936e-01 1.24796622e-01 
4.20000000e+00 -1.05317399e-01 -1.68884692e-01 -4.02574462e-01 3.00596256e-01 -3.38083364e-01 3.26978502e-02 -2.62955586e-01 -4.33836661e-01 -6.06222679e-01 -1.84643660e-01 
4.30000000e+00 -9.04396704e-02 -1.52639343e-01 -3.85867287e-01 3.53779879e-01 -2.77378336e-01 1.70723708e-01 -3.94721254e-01 -4.75680087e-01 -7.05167526e-01 -4.49278508e-01 
4.40000000e+00 -7.72694515e-02 -1.37414383e-01 -3.64155634e-01 3.93120367e-01 -1.95984354e-01 2.87928435e-01 -4.71483580e-01 -4.35068367e-01 -6.50803261e-01 -6.02323249e-01 
4.50000000e+00 -6.56686918e-02 -1.23245152e-01 -3.38643641e-01 4.18942896e-01 -9.99462360e-02 3.73409662e-01 -4.83711147e-01 -3.21709435e-01 -4.56334706e-01 -6.05404042e-01 
4.60000000e+00 -5.55031572e-02 -1.10128098e-01 -3.10487091e-01 4.32327349e-01 4.26879460e-03 4.20680646e-01 -4.30977246e-01 -1.57016961e-01 -1.64673762e-01 -4.57721166e-01 
4.70000000e+00 -4.66434479e-02 -9.80340798e-02 -2.80761006e-01 4.34872771e-01 1.10277727e-01 4.27828528e-01 -3.21419941e-01 3.04736359e-02 1.61820679e-01 -1.95596284e-01 
4.80000000e+00 -3.89656446e-02 -8.69191749e-02 -2.50435245e-01 4.28464856e-01 2.12208110e-01 3.97087810e-01 -1.70087963e-01 2.10436557e-01 4.55275468e-01 1.17157129e-01 
4.90000000e+00 -3.23517289e-02 -7.67327995e-02 -2.20357237e-01 4.15068884e-01 3.05026527e-01 3.33982755e-01 3.48337531e-03 3.55798579e-01 6.56652320e-01 4.05301029e-01 
5.00000000e+00 -2.66898820e-02 -6.74232501e-02 -1.91241125e-01 3.96563285e-01 3.84762153e-01 2.46226176e-01 1.78055331e-01 4.46660223e-01 7.27413504e-01 6.00462810e-01 
5.10000000e+00 -2.18747231e-02 -5.89409684e-02 -1.63662761e-01 3.74621386e-01 4.48626806e-01 1.42561562e-01 3.33417630e-01 4.72589271e-01 6.56239443e-01 6.57108745e-01 
5.20000000e+00 -1.78075175e-02 -5.12399745e-02 -1.38060056e-01 3.50641996e-01 4.95039437e-01 3.17072316e-02 4.52717128e-01 4.33147004e-01 4.59789105e-01 5.62489746e-01 
5.30000000e+00 -1.43963624e-02 -4.42779665e-02 -1.14738175e-01 3.25723976e-01 5.23567715e-01 -7.84849020e-02 5.24130456e-01 3.36834455e-01 1.77843445e-01 3.38532680e-01 
5.40000000e+00 -1.15563386e-02 -3.80155755e-02 -9.38789640e-02 3.00676178e-01 5.34802639e-01 -1.81596531e-01 5.41748028e-01 1.98878653e-01 -1.35694482e-01 3.57015981e-02 
