#          b = 2
#          n:            1           2           3           4           5           6           7           8           9          10
# Eigenvalues: -4.723574083e-01 -1.198526271e-01 3.942431449e-03 1.769104105e-01 4.447129366e-01 7.571710995e-01 1.213006080e+00 1.695438311e+00 2.458809393e+00 3.219439565e+00 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)
7.10000000e+00 -1.78765553e-01 1.84081744e-01 -2.66377174e-01 -9.45365909e-02 -2.83080830e-01 -6.76623276e-02 -1.61431572e-01 -2.95962775e-01 -4.93262981e-01 -2.44764727e-01 
7.20000000e+00 -1.64404594e-01 1.75486453e-01 -2.66938228e-01 -1.22822559e-01 -2.73333123e-01 -9.71403592e-03 -2.35389618e-01 -3.33512456e-01 -5.39657348e-01 -3.66177624e-01 
7.30000000e+00 -1.50859906e-01 1.66813893e-01 -2.65613727e-01 -1.49111394e-01 -2.56169763e-01 4.77226019e-02 -2.97438794e-01 -3.50345408e-01 -5.43510930e-01 -4.54450171e-01 
7.40000000e+00 -1.38116822e-01 1.58123963e-01 -2.62546651e-01 -1.73169774e-01 -2.32192030e-01 1.02552105e-01 -3.44598366e-01 -3.45823201e-01 -5.04811248e-01 -5.01552609e-01 
7.50000000e+00 -1.26158144e-01 1.49470740e-01 -2.57891534e-01 -1.94836291e-01 -2.02150782e-01 1.52911746e-01 -3.74712683e-01 -3.20627669e-01 -4.26884908e-01 -5.03243437e-01 
7.60000000e+00 -1.14964356e-01 1.40902742e-01 -2.51811193e-01 -2.14015525e-01 -1.66915541e-01 1.97228316e-01 -3.86528050e-01 -2.76655579e-01 -3.16060421e-01 -4.59413022e-01 
7.70000000e+00 -1.04513840e-01 1.32463214e-01 -2.44473627e-01 -2.30670820e-01 -1.27442550e-01 2.34255998e-01 -3.79719184e-01 -2.16843822e-01 -1.81101673e-01 -3.74043727e-01 
7.80000000e+00 -9.47830886e-02 1.24190408e-01 -2.36049128e-01 -2.44816232e-01 -8.47428712e-02 2.63095593e-01 -3.54866908e-01 -1.44941699e-01 -3.24665507e-02 -2.54798870e-01 
7.90000000e+00 -8.57469200e-02 1.16117864e-01 -2.26707607e-01 -2.56508120e-01 -3.98514370e-02 2.83196349e-01 -3.13391277e-01 -6.52489005e-02 1.18542760e-01 -1.12287141e-01 
8.00000000e+00 -7.73787020e-02 1.08274681e-01 -2.16616174e-01 -2.65836777e-01 6.20210675e-03 2.94342417e-01 -2.57446422e-01 1.76616005e-02 2.60665544e-01 4.09222320e-02 
8.10000000e+00 -6.96505756e-02 1.00685772e-01 -2.05936958e-01 -2.72918433e-01 5.24200920e-02 2.96626501e-01 -1.89784989e-01 9.92174225e-02 3.83532711e-01 1.91437711e-01 
8.20000000e+00 -6.25336819e-02 9.33721021e-02 -1.94825204e-01 -2.77887899e-01 9.78604959e-02 2.90413650e-01 -1.13601091e-01 1.75101021e-01 4.78416221e-01 3.26230390e-01 
8.30000000e+00 -5.59983919e-02 8.63509235e-02 -1.83427634e-01 -2.80892045e-01 1.41657172e-01 2.76298214e-01 -3.23611529e-02 2.41470807e-01 5.38824148e-01 4.33758512e-01 
8.40000000e+00 -5.00145334e-02 7.96359878e-02 -1.71881088e-01 -2.82084223e-01 1.83036362e-01 2.55056971e-01 5.03680438e-02 2.95139081e-01 5.60902994e-01 5.04933848e-01 
8.50000000e+00 -4.45516166e-02 7.32377561e-02 -1.60311437e-01 -2.81619688e-01 2.21329343e-01 2.27601144e-01 1.31085387e-01 3.33700402e-01 5.43626258e-01 5.33850195e-01 
8.60000000e+00 -3.95790527e-02 6.71636010e-02 -1.48832768e-01 -2.79652020e-01 2.55981183e-01 1.94929730e-01 2.06507782e-01 3.55607725e-01 4.88766211e-01 5.18218681e-01 
8.70000000e+00 -3.50663645e-02 6.14180055e-02 -1.37546830e-01 -2.76330478e-01 2.86555682e-01 1.58086072e-01 2.73702397e-01 3.60197015e-01 4.00662835e-01 4.59482769e-01 
8.80000000e+00 -3.09833867e-02 5.60027609e-02 -1.26542736e-01 -2.71798207e-01 3.12736704e-01 1.18119154e-01 3.30193923e-01 3.47663990e-01 2.85818592e-01 3.62615155e-01 
8.90000000e+00 -2.73004518e-02 5.09171667e-02 -1.15896897e-01 -2.66191170e-01 3.34326164e-01 7.60506101e-02 3.74043622e-01 3.18998992e-01 1.52359109e-01 2.35626312e-01 
9.00000000e+00 -2.39885620e-02 4.61582322e-02 -1.05673179e-01 -2.59637680e-01 3.51239027e-01 3.28479415e-02 4.03898643e-01 2.75887656e-01 9.40727171e-03 8.88378725e-02 
9.10000000e+00 -2.10195430e-02 4.17208822e-02 -9.59232513e-02 -2.52258392e-01 3.63495729e-01 -1.05959346e-02 4.19011657e-01 2.20586031e-01 -1.33578594e-01 -6.60084275e-02 
9.20000000e+00 -1.83661798e-02 3.75981658e-02 -8.66871141e-02 -2.44166611e-01 3.71212458e-01 -5.34770677e-02 4.19232369e-01 1.55779189e-01 -2.67452748e-01 -2.16725205e-01 
9.30000000e+00 -1.60023334e-02 3.37814679e-02 -7.79937679e-02 -2.35468814e-01 3.74589788e-01 -9.50892988e-02 4.04973669e-01 8.44320927e-02 -3.83971264e-01 -3.51653513e-01 
9.40000000e+00 -1.39030374e-02 3.02607225e-02 -6.98620077e-02 -2.26265255e-01 3.73900132e-01 -1.34828237e-01 3.77156173e-01 9.64087255e-03 -4.76285150e-01 -4.60557388e-01 
9.50000000e+00 -1.20445746e-02 2.70246259e-02 -6.23013083e-02 -2.16650581e-01 3.69474493e-01 -1.72191208e-01 3.37135620e-01 -6.55084319e-02 -5.39309965e-01 -5.35370738e-01 
9.60000000e+00 -1.04045348e-02 2.40608476e-02 -5.53127774e-02 -2.06714378e-01 3.61688964e-01 -2.06774021e-01 2.86617956e-01 -1.38067841e-01 -5.69955526e-01 -5.70744522e-01 
9.70000000e+00 -8.96185295e-03 2.13562378e-02 -4.88901485e-02 -1.96541612e-01 3.50951388e-01 -2.38265413e-01 2.27567073e-01 -2.05337708e-01 -5.67210626e-01 -5.64361494e-01 
9.80000000e+00 -7.69682999e-03 1.88970268e-02 -4.30207899e-02 -1.86212927e-01 3.37688562e-01 -2.66439913e-01 1.62110018e-01 -2.64956291e-01 -5.32088279e-01 -5.17006498e-01 
9.90000000e+00 -6.59113714e-03 1.66690176e-02 -3.76867079e-02 -1.75804805e-01 3.22334276e-01 -2.91149820e-01 9.24441093e-02 -3.14966997e-01 -4.67446226e-01 -4.32400516e-01 
1.00000000e+01 -5.62780501e-03 1.46577662e-02 -3.28655222e-02 -1.65389572e-01 3.05318475e-01 -3.12316820e-01 2.07498493e-02 -3.53862888e-01 -3.77704734e-01 -3.16824752e-01 
