#          b = 0.5
#          n:            1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20
# Eigenvalues: -4.924250637e-01 2.379595318e-01 1.353795348e+00 2.973362552e+00 5.112616427e+00 7.754341059e+00 1.095216565e+01 1.467350919e+01 1.901713332e+01 2.392265106e+01 2.955622788e+01 3.581488634e+01 4.297284145e+01 5.086308071e+01 5.995069558e+01 6.997266712e+01 8.179414587e+01 9.502554829e+01 1.117403700e+02 1.318342824e+02 
#      r             u_1(r)        u_2(r)        u_3(r)        u_4(r)        u_5(r)        u_6(r)        u_7(r)        u_8(r)        u_9(r)        u_10(r)        u_11(r)        u_12(r)        u_13(r)        u_14(r)        u_15(r)        u_16(r)        u_17(r)        u_18(r)        u_19(r)        u_20(r)
3.40000000e+00 -8.33164309e-06 -9.27391335e-04 3.58981649e-03 1.45967592e-02 -1.56592391e-02 3.37488551e-02 -3.62411091e-02 6.11465718e-02 -2.60030761e-01 -5.86209065e-01 -7.99069417e-01 -4.43550631e-01 -4.93523155e-01 -4.61899692e-01 6.91559626e-01 2.60993376e-01 3.30015047e-01 -8.00486810e-01 7.54466076e-01 -1.61026949e-01 
3.50000000e+00 -4.72768565e-06 -4.83798565e-04 2.20327719e-03 1.00111991e-02 -1.52079089e-02 3.55473408e-02 -6.68529455e-03 3.98807451e-02 -1.83630074e-01 -3.84641738e-01 -6.96811024e-01 -8.16761964e-01 6.13229271e-02 -8.34908448e-01 7.73216509e-02 -6.92137759e-01 7.26281906e-01 -6.39424523e-01 8.39031335e-01 -8.06103907e-01 
3.60000000e+00 -2.41045042e-06 -2.36716350e-04 1.24346586e-03 6.26740282e-03 -1.22057907e-02 3.20105953e-02 1.32379840e-02 4.16851007e-02 -1.17711152e-01 -2.17176184e-01 -5.52590609e-01 -9.14552684e-01 5.48470577e-01 -5.82121212e-01 -5.78341452e-01 -8.47049764e-01 1.81349449e-01 5.11289759e-01 -5.98728584e-01 1.30298802e-01 
3.70000000e+00 -1.12554317e-06 -1.08817691e-04 6.49462710e-04 3.60657312e-03 -8.53938007e-03 2.51680171e-02 2.23025593e-02 4.86146318e-02 -5.86061411e-02 -1.16588019e-01 -4.14292385e-01 -7.80117908e-01 8.09271526e-01 7.25468853e-02 -7.65672970e-01 -7.53172462e-02 -6.14877520e-01 8.85201114e-01 -1.04432488e+00 8.78071623e-01 
3.80000000e+00 -4.86563841e-07 -4.70693987e-05 3.15407918e-04 1.91805533e-03 -5.34266039e-03 1.75902832e-02 2.27893745e-02 5.02949722e-02 -1.16598514e-02 -7.67175399e-02 -2.88545189e-01 -5.44709773e-01 8.58723440e-01 6.91031100e-01 -4.38509774e-01 7.72780993e-01 -7.49726174e-01 3.45136211e-02 2.35967346e-01 2.87106957e-02 
3.90000000e+00 -1.96060880e-07 -1.91837672e-05 1.42940887e-04 9.46791838e-04 -3.03374952e-03 1.10758696e-02 1.85209702e-02 4.46340692e-02 1.78471550e-02 -7.07654910e-02 -1.74385200e-01 -3.31757353e-01 7.70946557e-01 9.80559082e-01 1.41539260e-01 9.27592074e-01 -9.00122593e-02 -8.33165640e-01 1.18610512e+00 -9.33174578e-01 
4.00000000e+00 -7.39820132e-08 -7.37585052e-06 6.06250888e-05 4.35299947e-04 -1.57857126e-03 6.34547052e-03 1.28902213e-02 3.44236119e-02 2.99978957e-02 -7.26821802e-02 -7.85274856e-02 -1.98994913e-01 6.08569642e-01 9.30558339e-01 6.77343498e-01 3.73198540e-01 7.13677930e-01 -7.01273098e-01 3.92100211e-01 -3.55590091e-01 
4.10000000e+00 -2.62296519e-08 -2.67822874e-06 2.41201202e-05 1.86944876e-04 -7.57782671e-04 3.33254158e-03 7.93700493e-03 2.34664955e-02 2.96704112e-02 -6.86022855e-02 -1.04522374e-02 -1.39945803e-01 4.16763658e-01 7.07516705e-01 9.84641770e-01 -3.80961144e-01 9.52936817e-01 1.61101551e-01 -9.76148602e-01 8.47051042e-01 
4.20000000e+00 -8.75951607e-09 -9.19326494e-07 9.01964622e-06 7.51759272e-05 -3.37290584e-04 1.61370400e-03 4.40213021e-03 1.43369437e-02 2.31717792e-02 -5.66534217e-02 2.66730429e-02 -1.19444583e-01 2.34270597e-01 4.80408587e-01 1.01761660e+00 -8.78097603e-01 4.62012323e-01 8.40684495e-01 -1.11304622e+00 8.23934088e-01 
4.30000000e+00 -2.76083579e-09 -2.98585343e-07 3.17546398e-06 2.83646789e-05 -1.39745141e-04 7.23767680e-04 2.22444451e-03 7.93379000e-03 1.54367610e-02 -4.10103014e-02 3.83487468e-02 -1.06802264e-01 9.17059065e-02 3.26688505e-01 8.37815871e-01 -1.00368896e+00 -3.78101867e-01 8.20744061e-01 7.33441571e-02 -4.03946800e-01 
