# omega0=1, alpha=0.2
# theta0=-0.79, theta_dot0=0.1234
# t_start=0, t_end=200, h=0.0116355
#   t          x(t)                 v(t)       
1.349721288208936e+01 -1.222812066913525e+01 -4.136323474978715e-01
1.361356816555565e+01 -1.227469056439267e+01 -3.870335576320852e-01
1.372992344902193e+01 -1.231823986450835e+01 -3.617848335556710e-01
1.384627873248822e+01 -1.235895045090729e+01 -3.383070052891693e-01
1.396263401595451e+01 -1.239705110098736e+01 -3.169836393269659e-01
1.407898929942080e+01 -1.243281259570356e+01 -2.981517488421928e-01
1.419534458288708e+01 -1.246654184476331e+01 -2.820942088962450e-01
1.431169986635337e+01 -1.249857523042641e+01 -2.690339102701575e-01
1.442805514981966e+01 -1.252927137130612e+01 -2.591296286094453e-01
1.454441043328594e+01 -1.255900350248599e+01 -2.524735478060224e-01
1.466076571675223e+01 -1.258815165975060e+01 -2.490903545945683e-01
1.477712100021852e+01 -1.261709484537749e+01 -2.489378110704664e-01
1.489347628368481e+01 -1.264620334186685e+01 -2.519087090248935e-01
1.500983156715109e+01 -1.267583132883107e+01 -2.578341107902304e-01
1.512618685061738e+01 -1.270630994725319e+01 -2.664877824002457e-01
1.524254213408367e+01 -1.273794094432234e+01 -2.775917235798205e-01
1.535889741754996e+01 -1.277099102065687e+01 -2.908226932290890e-01
1.547525270101624e+01 -1.280568698930248e+01 -3.058196170658745e-01
1.559160798448253e+01 -1.284221184166607e+01 -3.221917450208086e-01
1.570796326794882e+01 -1.288070179868305e+01 -3.395273997988048e-01
1.582431855141511e+01 -1.292124440523878e+01 -3.574031258111603e-01
1.594067383488139e+01 -1.296387770159977e+01 -3.753930118643422e-01
1.605702911834769e+01 -1.300859047714636e+01 -3.930779253859489e-01
1.617338440181399e+01 -1.305532357934416e+01 -4.100543656134543e-01
1.628973968528030e+01 -1.310397221558775e+01 -4.259426238263655e-01
1.640609496874660e+01 -1.315438914891582e+01 -4.403939360525620e-01
1.652245025221291e+01 -1.320638865285709e+01 -4.530963323381669e-01
1.663880553567921e+01 -1.325975105847255e+01 -4.637789291594436e-01
1.675516081914552e+01 -1.331422770079337e+01 -4.722144774947147e-01
1.687151610261182e+01 -1.336954605486266e+01 -4.782200648032579e-01
1.698787138607813e+01 -1.342541484541072e+01 -4.816559679410763e-01
1.710422666954443e+01 -1.348152891983941e+01 -4.824227568856082e-01
1.722058195301074e+01 -1.353757369155729e+01 -4.804568460885215e-01
1.733693723647704e+01 -1.359322898854774e+01 -4.757247719457303e-01
1.745329251994335e+01 -1.364817217813697e+01 -4.682165339039400e-01
1.756964780340966e+01 -1.370208048033980e+01 -4.579383688356162e-01
1.768600308687596e+01 -1.375463242569122e+01 -4.449053328025676e-01
1.780235837034227e+01 -1.380550845603398e+01 -4.291340439101128e-01
1.791871365380857e+01 -1.385439070572363e+01 -4.106359000847979e-01
1.803506893727488e+01 -1.390096203427638e+01 -3.894110334548319e-01
1.815142422074118e+01 -1.394490440864131e+01 -3.654432063227374e-01
1.826777950420749e+01 -1.398589675393524e+01 -3.386957998179300e-01
1.838413478767379e+01 -1.402361240633074e+01 -3.091090013631120e-01
1.850049007114010e+01 -1.405771631216096e+01 -2.765982656706056e-01
1.861684535460640e+01 -1.408786212495943e+01 -2.410541090174602e-01
1.873320063807271e+01 -1.411368935909489e+01 -2.023432993900025e-01
1.884955592153901e+01 -1.413482076697772e+01 -1.603115257555015e-01
1.896591120500532e+01 -1.415086011852094e+01 -1.147876670534329e-01
1.908226648847162e+01 -1.416139057845282e+01 -6.558983315456539e-02
1.919862177193793e+01 -1.416597390065619e+01 -1.253341213782669e-02
1.931497705540423e+01 -1.416415068983655e+01 4.455857541192360e-02
1.943133233887054e+01 -1.415544201946038e+01 1.058424536481733e-01
1.954768762233684e+01 -1.413935273956623e+01 1.714377992233802e-01
1.966404290580315e+01 -1.411537685498761e+01 2.414078838005303e-01
1.978039818926945e+01 -1.408300539662564e+01 3.157363402345111e-01
1.989675347273576e+01 -1.404173723380005e+01 3.942999528453960e-01
2.001310875620206e+01 -1.399109326626775e+01 4.768378701503385e-01
2.012946403966837e+01 -1.393063436471410e+01 5.629181885236810e-01
2.024581932313467e+01 -1.385998326558965e+01 6.519038134174576e-01
2.036217460660098e+01 -1.377885033273457e+01 7.429207867440278e-01
2.047852989006728e+01 -1.368706263967401e+01 8.348338030828271e-01
2.059488517353359e+01 -1.358459518445935e+01 9.262352046526170e-01
2.071124045699989e+01 -1.347160224188822e+01 1.015454926303210e+00
2.082759574046620e+01 -1.334844596545093e+01 1.100599030248917e+00
2.094395102393250e+01 -1.321571853412085e+01 1.179622885950647e+00
2.106030630739881e+01 -1.307425363938740e+01 1.250441105985101e+00
2.117666159086511e+01 -1.292512321261158e+01 1.311069956101685e+00
2.129301687433142e+01 -1.276961624859705e+01 1.359789951344540e+00
2.140937215779772e+01 -1.260919847422009e+01 1.395308649507353e+00
2.152572744126403e+01 -1.244545425480989e+01 1.416898905997068e+00
2.164208272473033e+01 -1.228001503307797e+01 1.424488480408981e+00
2.175843800819664e+01 -1.211448105497436e+01 1.418683848292231e+00
2.187479329166294e+01 -1.195034446966774e+01 1.400723060856649e+00
2.199114857512925e+01 -1.178892169259870e+01 1.372366149145053e+00
2.210750385859555e+01 -1.163130123711955e+01 1.335742795587237e+00
2.222385914206186e+01 -1.147831053071070e+01 1.293182711135379e+00
2.234021442552816e+01 -1.133050225314799e+01 1.247053462680502e+00
2.245656970899447e+01 -1.118815815324527e+01 1.199624715119550e+00
2.257292499246077e+01 -1.105130656484906e+01 1.152969583187137e+00
2.268928027592708e+01 -1.091974908307329e+01 1.108905662399120e+00
2.280563555939338e+01 -1.079309194733614e+01 1.068972108124477e+00
2.292199084285969e+01 -1.067077833547581e+01 1.034435522654269e+00
2.303834612632599e+01 -1.055211870798855e+01 1.006316167390693e+00
2.315470140979230e+01 -1.043631731566008e+01 9.854264497847137e-01
2.327105669325860e+01 -1.032249384845481e+01 9.724149641275064e-01
2.338741197672491e+01 -1.020969989325872e+01 9.678109523856171e-01
2.350376726019121e+01 -1.009693037974960e+01 9.720654718327215e-01
