# omega0=1, alpha=4
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
2.334536195410692e+01 1.769916520259542e-03 -4.742473866967858e-04
2.343655477424015e+01 1.727192667910758e-03 -4.627995872682391e-04
2.352774759437338e+01 1.685500121434738e-03 -4.516281238388111e-04
2.361894041450661e+01 1.644813986354688e-03 -4.407263260649902e-04
2.371013323463984e+01 1.605109969110011e-03 -4.300876846103970e-04
2.380132605477307e+01 1.566364362551519e-03 -4.197058472597956e-04
2.389251887490630e+01 1.528554031786732e-03 -4.095746151268697e-04
2.398371169503953e+01 1.491656400366802e-03 -3.996879389535019e-04
2.407490451517276e+01 1.455649436806839e-03 -3.900399154983518e-04
2.416609733530600e+01 1.420511641431575e-03 -3.806247840125781e-04
2.425729015543923e+01 1.386222033538528e-03 -3.714369228006043e-04
2.434848297557246e+01 1.352760138870997e-03 -3.624708458638768e-04
2.443967579570569e+01 1.320105977393416e-03 -3.537211996256143e-04
2.453086861583892e+01 1.288240051361768e-03 -3.451827597345940e-04
2.462206143597215e+01 1.257143333681941e-03 -3.368504279460706e-04
2.471325425610538e+01 1.226797256549074e-03 -3.287192290779658e-04
2.480444707623861e+01 1.197183700361113e-03 -3.207843080405135e-04
2.489563989637184e+01 1.168284982899962e-03 -3.130409269375883e-04
2.498683271650507e+01 1.140083848773771e-03 -3.054844622379899e-04
2.507802553663830e+01 1.112563459114051e-03 -2.981104020149941e-04
2.516921835677153e+01 1.085707381521482e-03 -2.909143432525229e-04
2.526041117690476e+01 1.059499580254389e-03 -2.838919892163300e-04
2.535160399703799e+01 1.033924406654057e-03 -2.770391468886298e-04
2.544279681717122e+01 1.008966589801144e-03 -2.703517244646399e-04
2.553398963730445e+01 9.846112273976298e-04 -2.638257289095457e-04
2.562518245743768e+01 9.608437768688525e-04 -2.574572635744260e-04
2.571637527757091e+01 9.376500466803201e-04 -2.512425258697194e-04
2.580756809770414e+01 9.150161878641153e-04 -2.451778049948424e-04
2.589876091783737e+01 8.929286857498336e-04 -2.392594797226040e-04
2.598995373797060e+01 8.713743518951192e-04 -2.334840162370950e-04
2.608114655810383e+01 8.503403162109805e-04 -2.278479660237618e-04
2.617233937823706e+01 8.298140192771836e-04 -2.223479638104055e-04
2.626353219837029e+01 8.097832048431384e-04 -2.169807255578766e-04
2.635472501850352e+01 7.902359125097969e-04 -2.117430464992675e-04
2.644591783863675e+01 7.711604705881969e-04 -2.066317992264315e-04
2.653711065876998e+01 7.525454891303882e-04 -2.016439318226867e-04
2.662830347890321e+01 7.343798531285769e-04 -1.967764660405897e-04
2.671949629903644e+01 7.166527158784328e-04 -1.920264955236923e-04
2.681068911916967e+01 6.993534925025924e-04 -1.873911840712191e-04
2.690188193930290e+01 6.824718536304949e-04 -1.828677639446308e-04
2.699307475943613e+01 6.659977192307758e-04 -1.784535342150615e-04
2.708426757956936e+01 6.499212525925351e-04 -1.741458591506445e-04
2.717546039970259e+01 6.342328544518894e-04 -1.699421666427635e-04
2.726665321983582e+01 6.189231572602983e-04 -1.658399466702894e-04
2.735784603996905e+01 6.039830195912449e-04 -1.618367498008873e-04
2.744903886010228e+01 5.894035206819297e-04 -1.579301857284971e-04
2.754023168023551e+01 5.751759551067202e-04 -1.541179218461160e-04
2.763142450036874e+01 5.612918275791744e-04 -1.503976818530312e-04
2.772261732050197e+01 5.477428478795367e-04 -1.467672443956695e-04
2.781381014063520e+01 5.345209259046760e-04 -1.432244417412549e-04
2.790500296076843e+01 5.216181668375106e-04 -1.397671584834802e-04
2.799619578090166e+01 5.090268664330369e-04 -1.363933302794216e-04
2.808738860103489e+01 4.967395064181465e-04 -1.331009426169407e-04
2.817858142116812e+01 4.847487500024850e-04 -1.298880296118397e-04
2.826977424130135e+01 4.730474374976725e-04 -1.267526728340501e-04
2.836096706143458e+01 4.616285820422696e-04 -1.236930001621554e-04
2.845215988156781e+01 4.504853654299386e-04 -1.207071846655628e-04
2.854335270170104e+01 4.396111340383045e-04 -1.177934435136580e-04
2.863454552183427e+01 4.289993948560904e-04 -1.149500369112902e-04
2.872573834196750e+01 4.186438116061512e-04 -1.121752670599528e-04
2.881693116210073e+01 4.085382009620921e-04 -1.094674771440393e-04
2.890812398223396e+01 3.986765288562141e-04 -1.068250503415698e-04
2.899931680236719e+01 3.890529068765798e-04 -1.042464088587957e-04
2.909050962250042e+01 3.796615887510500e-04 -1.017300129881082e-04
2.918170244263365e+01 3.704969669161907e-04 -9.927436018868745e-05
2.927289526276688e+01 3.615535691690031e-04 -9.687798418934268e-05
