#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
2.902547e+00  -6.340092e+00  -6.340092e+00  -6.526726e+00
2.903633e+00  -6.963499e+00  -6.571210e+00  -6.032238e+00
2.904716e+00  -6.526726e+00  -6.963499e+00  -5.727836e+00
2.905796e+00  -6.759172e+00  -6.340092e+00  -6.526726e+00
2.906874e+00  -6.759172e+00  -6.340092e+00  -6.571210e+00
2.907949e+00  -6.440455e+00  -7.097897e+00  -6.190052e+00
2.909021e+00  -6.407105e+00  -5.951930e+00  -6.407105e+00
2.910091e+00  -6.130844e+00  -6.171001e+00  -6.571210e+00
2.911158e+00  -6.692373e+00  -6.032238e+00  -6.130844e+00
2.912222e+00  -6.692373e+00  -6.130844e+00  -6.171001e+00
2.913284e+00  -6.571210e+00  -6.692373e+00  -6.571210e+00
2.914343e+00  -7.839390e+00  -7.097897e+00  -6.526726e+00
2.915400e+00  -6.258624e+00  -6.313417e+00  -6.526726e+00
2.916454e+00  -6.258624e+00  -6.759172e+00  -7.097897e+00
2.917506e+00  -7.097897e+00  -7.839390e+00  -6.963499e+00
2.918555e+00  -7.097897e+00  -7.839390e+00  -7.097897e+00
2.919601e+00  -6.692373e+00  -6.190052e+00  -6.526726e+00
2.920645e+00  -6.130844e+00  -6.692373e+00  -6.759172e+00
2.921686e+00  -6.313417e+00  -6.526726e+00  -7.839390e+00
2.922725e+00  -7.839390e+00  -6.063932e+00  -6.571210e+00
2.923762e+00  -6.526726e+00  -6.571210e+00  -6.963499e+00
2.924796e+00  -5.750289e+00  -6.526726e+00  -6.759172e+00
2.925828e+00  -6.190052e+00  -6.236397e+00  -5.951930e+00
2.926857e+00  -6.313417e+00  -6.340092e+00  -5.916735e+00
2.927883e+00  -6.340092e+00  -6.236397e+00  -6.340092e+00
2.928908e+00  -6.692373e+00  -6.963499e+00  -7.097897e+00
2.929930e+00  -6.313417e+00  -6.258624e+00  -6.963499e+00
2.930949e+00  -7.097897e+00  -6.692373e+00  -6.340092e+00
2.931966e+00  -6.440455e+00  -6.078749e+00  -6.963499e+00
2.932981e+00  -6.440455e+00  -6.963499e+00  -7.097897e+00
2.933993e+00  -6.078749e+00  -6.313417e+00  -7.097897e+00
2.935003e+00  -6.440455e+00  -5.978108e+00  -6.571210e+00
2.936011e+00  -6.407105e+00  -6.171001e+00  -6.526726e+00
2.937016e+00  -6.078749e+00  -6.692373e+00  -6.963499e+00
2.938019e+00  -7.839390e+00  -7.097897e+00  -6.759172e+00
2.939020e+00  -6.526726e+00  -6.526726e+00  -6.963499e+00
2.940018e+00  -7.839390e+00  -6.313417e+00  -6.759172e+00
2.941014e+00  -5.990230e+00  -6.130844e+00  -6.258624e+00
2.942008e+00  -5.951930e+00  -6.759172e+00  -6.407105e+00
2.943000e+00  -6.963499e+00  -6.313417e+00  -6.526726e+00
2.943989e+00  -6.130844e+00  -6.130844e+00  -6.313417e+00
2.944976e+00  -6.759172e+00  -6.692373e+00  -6.171001e+00
2.945961e+00  -6.130844e+00  -5.884180e+00  -6.236397e+00
2.946943e+00  -7.839390e+00  -7.097897e+00  -6.190052e+00
2.947924e+00  -6.258624e+00  -6.236397e+00  -6.440455e+00
2.948902e+00  -6.759172e+00  -6.692373e+00  -7.097897e+00
2.949878e+00  -5.884180e+00  -6.190052e+00  -7.839390e+00
2.950851e+00  -6.571210e+00  -6.571210e+00  -6.078749e+00
2.951823e+00  -7.839390e+00  -6.963499e+00  -6.114175e+00
2.952792e+00  -6.114175e+00  -6.759172e+00  -6.032238e+00
2.953760e+00  -6.759172e+00  -6.571210e+00  -5.990230e+00
2.954725e+00  -6.190052e+00  -6.526726e+00  -6.963499e+00
2.955688e+00  -5.990230e+00  -5.990230e+00  -6.236397e+00
2.956649e+00  -6.407105e+00  -6.963499e+00  -7.097897e+00
2.957607e+00  -6.407105e+00  -6.171001e+00  -5.825587e+00
2.958564e+00  -7.839390e+00  -6.759172e+00  -7.839390e+00
2.959518e+00  -6.340092e+00  -6.692373e+00  -6.236397e+00
2.960471e+00  -6.313417e+00  -6.130844e+00  -6.759172e+00
2.961421e+00  -7.097897e+00  -6.171001e+00  -6.759172e+00
2.962369e+00  -6.313417e+00  -6.571210e+00  -6.236397e+00
2.963316e+00  -6.171001e+00  -6.759172e+00  -5.906478e+00
2.964260e+00  -6.313417e+00  -6.313417e+00  -6.190052e+00
2.965202e+00  -5.951930e+00  -5.817253e+00  -6.407105e+00
2.966142e+00  -6.759172e+00  -6.759172e+00  -5.990230e+00
2.967080e+00  -6.963499e+00  -6.032238e+00  -6.759172e+00
2.968016e+00  -7.097897e+00  -6.407105e+00  -7.839390e+00
2.968950e+00  -7.839390e+00  -6.018904e+00  -7.839390e+00
2.969882e+00  -6.526726e+00  -6.571210e+00  -6.340092e+00
2.970812e+00  -6.171001e+00  -6.526726e+00  -5.874656e+00
2.971740e+00  -6.130844e+00  -6.114175e+00  -5.951930e+00
2.972666e+00  -7.839390e+00  -6.258624e+00  -6.692373e+00
2.973590e+00  -6.440455e+00  -5.884180e+00  -6.440455e+00
2.974512e+00  -6.130844e+00  -7.839390e+00  -6.963499e+00
2.975432e+00  -6.759172e+00  -6.190052e+00  -6.440455e+00
2.976350e+00  -6.340092e+00  -6.526726e+00  -6.063932e+00
2.977266e+00  -6.571210e+00  -6.078749e+00  -6.963499e+00
2.978181e+00  -6.407105e+00  -6.130844e+00  -6.313417e+00
2.979093e+00  -5.853896e+00  -6.440455e+00  -7.097897e+00
2.980003e+00  -7.839390e+00  -5.825587e+00  -7.839390e+00
2.980912e+00  -7.839390e+00  -6.526726e+00  -6.692373e+00
2.981819e+00  -6.258624e+00  -6.963499e+00  -6.018904e+00
2.982723e+00  -6.190052e+00  -6.526726e+00  -6.440455e+00
2.983626e+00  -7.097897e+00  -6.340092e+00  -7.839390e+00
2.984527e+00  -7.839390e+00  -6.313417e+00  -6.313417e+00
2.985426e+00  -7.839390e+00  -6.258624e+00  -6.340092e+00
2.986324e+00  -6.190052e+00  -6.114175e+00  -6.130844e+00
2.987219e+00  -6.526726e+00  -6.407105e+00  -6.692373e+00
2.988113e+00  -6.440455e+00  -6.440455e+00  -6.078749e+00
2.989005e+00  -6.526726e+00  -5.853896e+00  -5.978108e+00
2.989895e+00  -7.839390e+00  -6.407105e+00  -6.407105e+00
2.990783e+00  -6.963499e+00  -6.963499e+00  -5.853896e+00
2.991669e+00  -6.340092e+00  -6.114175e+00  -6.313417e+00
2.992554e+00  -6.407105e+00  -6.190052e+00  -6.440455e+00
2.993436e+00  -6.526726e+00  -6.078749e+00  -6.759172e+00
2.994317e+00  -6.692373e+00  -6.018904e+00  -6.963499e+00
2.995196e+00  -7.839390e+00  -6.407105e+00  -5.874656e+00
2.996074e+00  -6.571210e+00  -5.874656e+00  -7.097897e+00
2.996949e+00  -6.130844e+00  -6.407105e+00  -6.018904e+00
2.997823e+00  -6.407105e+00  -6.340092e+00  -6.692373e+00
2.998695e+00  -6.963499e+00  -6.236397e+00  -6.759172e+00
2.999565e+00  -6.190052e+00  -6.759172e+00  -6.130844e+00
3.000434e+00  -6.759172e+00  -6.692373e+00  -8.371593e-01
